clean_acc,backdoor_acc,confidence
0.1383,0.0,0.01803363561630249
0.1383,0.0,0.03137889206409454
0.1383,0.0,0.011898194998502731
0.1383,0.0,0.006527134031057358
0.1383,0.0,0.02077893614768982
0.1383,0.0,0.002391261234879494
0.1383,0.0,0.004728648066520691
0.1383,0.0,0.0006582450121641159
0.1383,0.0,0.0038243092596530913
0.1383,0.0,0.0015356694348156452
0.1383,0.0,0.0018124228343367576
0.1383,0.0,0.002726360410451889
0.1383,0.0,0.0034462545067071916
0.1383,0.0,0.000935694482177496
0.1383,0.0,0.0033626165241003036
0.1383,0.0,0.005359700322151184
0.1383,0.0,0.0009329788386821747
0.1383,0.0,0.02170957326889038
0.1383,0.0,0.009852293133735656
0.1383,0.0,0.04472888708114624
0.1383,0.0,0.003922740370035172
0.1383,0.0,0.01282510906457901
0.1383,0.0,0.05342135429382324
0.1383,0.0,0.014168499410152436
0.1383,0.0,0.016193300485610962
0.1383,0.0,0.008235451579093934
0.1383,0.0,0.007255873084068299
0.1383,0.0,0.02563837468624115
0.1383,0.0,0.004310239106416702
0.1383,0.0,0.004642203450202942
0.1383,0.0,0.003281223401427269
0.1383,0.0,0.008437611907720566
0.1383,0.0,0.0033526480197906493
0.1383,0.0,0.0035130389034748076
0.1383,0.0,0.004042450338602066
0.1383,0.0,0.009052171558141708
0.1383,0.0,0.01895982027053833
0.1383,0.0,0.0016257457435131073
0.1383,0.0,0.02336135506629944
0.1383,0.0,0.0038082782179117204
0.1383,0.0,0.01281309723854065
0.1383,0.0,0.002466670051217079
0.1383,0.0,0.022786085307598115
0.1383,0.0,0.005531047284603119
0.1383,0.0,0.0008586944080889225
0.1383,0.0,0.003949015587568283
0.1383,0.0,0.0017028875648975373
0.1383,0.0,0.01076647788286209
0.1383,0.0,0.0011474484577775
0.1383,0.0,0.0030990000814199448
